,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
92,castro,0,DZ,1553374800,19,27.87,-0.29,294.15,3.1
93,castro,0,ZA,1553377727,95,-33.59,26.89,295.93,1.79
94,castro,92,NZ,1553377894,82,-46.28,169.85,288.521,2.57
95,castro,92,AR,1553377838,58,-43.3,-65.11,289.921,12.52
96,castro,75,CA,1553374800,71,50.7,-127.42,283.15,3.6
97,castro,12,ZA,1553377687,79,-34.0,24.73,292.921,3.12
98,castro,80,RU,1553377749,76,69.49,88.39,257.921,2.42
99,castro,64,RU,1553377895,94,46.16,39.17,274.721,3.32
100,castro,75,CN,1553374800,87,25.28,110.29,283.15,1.32
101,castro,48,ML,1553377895,40,14.44,-11.44,301.571,2.72
102,castro,92,PH,1553377896,94,12.22,125.48,297.871,5.67
103,castro,75,CL,1553374800,71,-42.48,-73.76,287.15,1.22
104,castro,5,MX,1553373660,28,27.52,-110.01,300.15,4.6
105,castro,0,AU,1553377713,90,-23.58,149.07,294.171,1.32
106,castro,68,CK,1553374800,79,-21.21,-159.78,302.15,2.1
107,castro,20,PT,1553374800,66,38.52,-28.7,286.15,6.2
108,castro,40,IR,1553374800,87,36.66,51.42,282.15,1.0
109,castro,0,NA,1553374927,90,-22.12,14.28,289.82,2.24
110,castro,0,RU,1553377898,38,71.97,114.09,241.271,1.32
111,castro,20,BR,1553374800,78,-22.97,-42.02,299.15,2.6
112,castro,90,AU,1553374800,83,-20.73,139.49,298.15,6.7
113,castro,0,BD,1553377898,88,22.34,90.74,296.621,2.12
114,castro,0,FI,1553376000,60,60.8,21.41,277.15,4.6
115,castro,90,US,1553377851,70,43.82,-111.79,280.93,1.5
116,castro,75,CA,1553374800,63,65.28,-126.83,272.15,8.7
117,castro,0,IN,1553377674,72,25.52,90.21,288.371,0.62
118,castro,36,CM,1553377847,95,4.58,13.68,295.521,4.22
119,castro,8,BR,1553377900,97,-5.81,-61.3,299.421,0.97
120,castro,0,AR,1553376665,51,-31.66,-64.43,302.59,6.2
121,castro,20,BR,1553374800,74,-6.97,-34.84,302.15,4.1
122,castro,20,AU,1553377874,72,-42.78,147.06,292.04,3.6
123,castro,1,US,1553377896,21,39.31,-74.98,284.26,8.7
124,castro,90,US,1553377882,54,19.71,-155.08,299.15,4.1
125,castro,68,BR,1553377747,83,-6.64,-51.99,300.371,1.17
126,castro,24,PG,1553377901,100,-5.56,150.15,299.021,1.52
127,castro,32,RU,1553377901,59,53.86,120.88,264.521,2.37
128,castro,32,BR,1553377750,89,-8.9,-35.15,299.871,3.87
129,castro,0,NO,1553377902,70,71.03,27.85,269.371,3.47
130,castro,40,US,1553374560,65,60.79,-161.76,280.15,5.1
131,castro,88,MV,1553377903,100,-0.6,73.08,303.421,3.17
132,castro,0,GB,1553377699,86,52.47,1.45,280.37,0.5
133,castro,0,CH,1553377883,84,47.42,7.5,283.71,0.5
134,castro,36,SB,1553377907,96,-8.15,159.59,300.171,2.07
135,castro,92,BR,1553377907,96,-2.92,-39.92,298.521,1.62
136,castro,44,IE,1553377693,77,53.8,-9.52,280.37,4.02
137,castro,0,ES,1553377887,58,42.77,-9.06,288.15,1.0
138,castro,5,MX,1553377722,44,22.89,-109.91,300.37,4.1
139,castro,0,ES,1553377722,82,38.18,-1.13,288.15,2.1
140,castro,76,KI,1553377678,100,3.07,172.79,300.271,4.22
141,castro,90,RU,1553377536,93,59.7,30.79,277.15,3.0
142,castro,0,PT,1553377929,67,37.14,-8.45,289.26,3.1
143,castro,88,CO,1553377808,84,-0.19,-74.78,299.871,1.42
144,castro,0,GR,1553374200,81,39.45,22.34,280.15,2.1
145,castro,0,AR,1553377838,35,-40.81,-62.99,292.671,9.97
146,castro,92,CN,1553377973,58,38.48,106.21,273.471,1.32
147,castro,20,PA,1553377640,43,9.52,-79.03,304.26,6.7
148,castro,56,RU,1553377974,49,50.29,130.28,259.871,2.87
149,castro,0,IN,1553377974,89,15.34,74.49,291.571,0.47
150,castro,8,GL,1553377974,93,77.48,-69.36,243.221,4.82
151,castro,68,GL,1553377974,86,65.42,-52.9,259.971,8.37
152,castro,0,TC,1553377898,97,21.46,-71.14,299.771,5.72
153,castro,75,MU,1553377740,78,-20.34,57.76,301.15,5.7
154,castro,12,MN,1553377975,57,46.68,113.28,267.521,4.12
155,castro,0,AF,1553377975,88,36.41,64.91,278.971,3.07
156,castro,68,MG,1553377770,100,-14.27,50.17,300.771,6.22
157,castro,0,IT,1553377902,26,42.81,10.31,285.93,4.77
158,castro,68,RU,1553377976,73,63.37,47.92,272.521,4.77
159,castro,40,GR,1553377929,72,35.21,25.04,288.15,7.2
160,castro,20,PE,1553374800,55,-16.45,-71.53,291.15,5.1
161,castro,68,TZ,1553377976,52,-8.39,36.67,302.621,3.12
162,castro,36,PG,1553377754,100,-2.57,150.8,301.371,4.22
163,castro,68,MG,1553377977,100,-22.82,47.83,296.971,3.97
164,castro,40,AR,1553374800,82,-51.62,-69.22,286.15,3.1
165,castro,40,PW,1553374200,88,7.04,134.26,297.15,2.1
166,castro,75,BR,1553374800,83,-1.76,-48.8,300.15,3.1
167,castro,0,ET,1553377978,60,8.96,38.73,285.271,2.77
168,castro,92,FO,1553376000,75,62.16,-7.17,278.15,7.7
169,castro,44,ZA,1553377624,83,-34.53,20.04,294.15,1.0
170,castro,76,CG,1553377978,92,-4.17,13.56,296.371,0.87
171,castro,0,AU,1553374800,39,-25.24,130.99,299.15,3.6
172,castro,92,KZ,1553374800,92,52.96,63.12,270.15,2.0
173,castro,88,BR,1553377815,73,-20.63,-46.0,297.071,1.42
174,castro,90,CA,1553374800,72,69.44,-133.03,262.15,12.3
175,castro,75,BR,1553377537,83,-3.71,-38.6,300.15,3.6
176,castro,36,GL,1553377979,100,60.14,-45.24,267.971,5.12
177,castro,56,GL,1553374200,40,69.22,-51.1,254.15,9.3
178,castro,80,PG,1553377980,99,-6.22,155.63,300.021,0.97
179,castro,0,SA,1553374800,39,18.39,42.45,290.15,1.77
180,castro,90,CA,1553377368,77,63.75,-68.52,259.15,10.8
181,castro,0,IE,1553377927,86,53.94,-8.95,280.37,0.89
182,castro,56,KH,1553377981,96,13.5,106.97,295.371,0.97
183,castro,75,CA,1553377924,58,49.84,-124.52,287.04,3.6
184,castro,80,FO,1553376000,75,62.23,-6.59,278.15,7.7
185,castro,0,AU,1553377903,76,-32.25,115.77,288.15,3.1
186,castro,40,NO,1553377923,86,59.79,5.78,277.59,6.7
187,castro,68,KZ,1553378043,82,51.81,68.36,269.821,1.32
188,castro,80,AO,1553377744,97,-6.13,12.37,297.521,2.27
189,castro,20,JP,1553378018,80,33.93,134.5,278.15,5.7
190,castro,0,MK,1553378044,82,41.28,20.71,275.021,0.82
191,castro,12,RU,1553378045,52,67.46,153.71,253.021,1.07
192,castro,20,JP,1553377736,55,35.74,139.53,279.82,4.1
193,castro,12,RU,1553378045,80,59.24,163.07,262.721,4.37
194,castro,0,LK,1553378018,96,7.42,81.82,295.421,1.07
195,castro,90,US,1553377890,87,59.64,-151.54,279.82,1.27
196,castro,76,RU,1553378046,67,53.74,127.27,260.171,1.07
197,castro,40,ID,1553374800,100,-3.41,114.85,296.15,3.1
198,castro,0,NZ,1553378046,90,-35.17,173.16,292.921,2.12
199,castro,20,US,1553377828,42,64.84,-147.72,283.71,3.1
200,castro,0,SA,1553374800,54,31.68,38.65,288.15,2.1
201,castro,0,RO,1553376600,48,46.65,24.38,280.37,1.0
202,castro,1,CA,1553374800,55,58.52,-117.13,276.15,6.2
203,castro,92,AU,1553378024,88,-16.99,145.42,298.15,2.12
204,castro,20,AU,1553377822,88,-28.95,153.24,296.48,2.1
205,castro,0,EG,1553377374,77,30.05,31.24,290.15,6.2
206,castro,20,US,1553377645,48,20.89,-156.47,302.04,8.7
207,castro,0,IE,1553377927,86,54.11,-9.15,280.37,0.89
208,castro,24,LY,1553378049,52,27.03,14.43,287.321,3.17
209,castro,8,RU,1553378049,28,71.98,102.47,244.621,1.37
210,castro,20,PH,1553378049,83,17.54,120.52,290.121,1.52
211,castro,56,KZ,1553378049,78,45.25,77.98,274.621,1.02
212,castro,40,RU,1553374800,86,52.98,50.29,272.15,1.0
213,castro,8,MZ,1553378050,100,-16.23,39.91,301.371,4.37
